Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42
#,id,flight,phase,time,msl_altitude,indicated_airspeed,vertical_airspeed,tas,heading,course,pitch_attitude,roll_attitude,eng_1_rpm,vertical_acceleration,longitudinal_acceleration,lateral_acceleration,oat,groundspeed,latitude,longitude,nav_1_freq,nav_2_freq,obs_1,fuel_quantity_left_main,fuel_quantity_right_main,eng_1_fuel_flow,eng_1_oil_press,eng_1_oil_temp,eng_1_cht_1,eng_1_cht_2,eng_1_cht_3,eng_1_cht_4,eng_1_egt_1,eng_1_egt_2,eng_1_egt_3,eng_1_egt_4,system_1_volts,system_2_volts,system_1_amps,system_2_amps,
#min,3.71E+07,13588,0,0,833.6,-1.07,-1310.03,0,0,0,-7.42,-30.92,620.3,0,-0.33,-0.21,11,0,47.6457,-97.825,114.3,108.4,17,11.07,15.84,1.64,49.06,133.73,159.1,135.65,159.78,150,881.4,649.33,922.43,625.94,24.3,24.4,-14.1,-0.7,
#max,3.71E+07,13588,0.00E+00,5.53E+06,3984,117.9,1570.7,126,359.8,359.9,17.07,30.08,2625.3,0.00E+00,0.44,0.14,20.8,126.95,47.9504,0.00E+00,114.3,108.4,330,23.58,22.67,16.44,73.58,165.56,339.92,335.58,348.46,353.38,1521.49,1494.28,1525.81,1523.77,28.2,28.2,12.7,0.8,
#avg,3.71E+07,13588,0,2.75E+06,2183.69,66.7928,-1.37067,70.4452,186.512,172.651,2.27305,-0.762514,1877.69,0,0.00307223,-0.00732681,15.9902,70.2032,47.8214,-97.4261,114.3,108.4,136.631,16.9617,19.4259,7.05491,64.0861,155.119,299.008,283.751,303.062,300.466,1252.21,1228.1,1258.54,1234.45,27.9059,27.9031,0.738537,0.0615555,
#dev,1353.25,0,0,1.39E+06,1029.86,34.9273,239.39,37.0052,94.9137,88.1578,2.25102,3.69389,557.98,0,0.043949,0.0187516,2.75826,36.4106,0.0904676,0.194589,1.56E-13,1.10E-11,77.7922,2.59181,0.859054,3.42524,5.58041,6.81199,25.5113,27.6003,24.3813,32.4286,152.986,150.204,157.513,162.741,0.347428,0.341534,1.34132,0.0651902,
#min,delta,1,0,0,1,-36.2,-24.96,-518.35,-25,-359.7,-359.8,-5.27,-16.59,-493.4,0,-0.6,-0.23,-0.3,-6.43,-0.0009231,-0.0011521,0,0,-313,-0.42,-0.67,-4.74,-6.76,-0.15,-1.68,-1.71,-1.64,-1.68,-47.94,-67.58,-37.25,-83.21,-1.5,-1.5,-12.8,-0.6
#max,delta,1,0.00E+00,0.00E+00,2000,34.8,23.86,563.03,25,359.3,359.7,5.76,14.09,883.9,0.00E+00,0.45,0.26,0.3,5.76,0.0009117,0.0014954,0.00E+00,0.00E+00,55,0.65,0.4,11.21,13.89,0.25,1.64,1.65,1.55,1.72,43.42,69.77,40.84,78.96,2.9,3.1,15.9,0.7
#avg,delta,1,0,0,1021.61,-0.00110844,-2.65E-19,-0.00582117,0,-0.0322926,-0.0164419,0.000153335,-0.00014964,-0.0851838,0,-1.85E-06,-1.85E-06,-0.000129318,0,-1.62E-08,1.16E-07,0,0,-0.0359874,-0.00146869,-0.000556069,-0.000205062,-0.00175688,0.00222612,0.0239091,0.0248513,0.0254868,0.0229595,0.00465361,0.012688,0.00833918,0.00445963,-0.000387955,-0.000369481,-0.00456309,-0.000147792
#dev,delta,2,0,0,2043.23,4.37457,0.609315,54.9587,0.651025,2.92057,2.40613,0.37514,0.969006,13.5521,0,0.0571829,0.0204308,0.0137009,0.412149,0.000173611,0.000357157,0,0,0.303317,0.0485852,0.0531421,0.0997518,0.323179,0.0288251,0.237742,0.237494,0.226622,0.240453,2.17129,2.52282,2.05622,2.70052,0.0424271,0.0359512,0.199363,0.0470827
,37123779,13588,0,0,848.8,0,17.2,0,354.6,266.2,2.4,0.46,1185.5,0,0,0,19.5,0,47.9485893,-97.1724243,114.3,108.4,228.2,21.6,19.57,3.01,59.68,144.77,159.1,135.65,159.78,150,983.3,977.64,963.53,995.41,27.9,27.9,12.3,0.8,
,37123780,13588,0,1,851.2,0,20.65,0,354.6,266.2,2.4,0.46,1185.3,0,-0.02,-0.02,19.5,0,47.9485855,-97.1724396,114.3,108.4,228.2,21.6,19.57,3.01,59.63,144.76,159.14,135.7,159.84,150.03,984.84,977.91,964.04,995.65,28,27.9,12.4,0.8,
,37123781,13588,0,2000,854.2,0,-4.82,0,354.7,266.2,2.36,0.45,1185.5,0,-0.02,-0.01,19.5,0,47.9485855,-97.1724396,114.3,108.4,228.2,21.6,19.57,3.01,59.72,144.65,160,136.27,160.55,150.57,998.41,983.72,973.55,998.59,27.9,27.9,12.3,0.8,
,37123782,13588,0,3000,853.1,0,1.3,0,354.7,266.2,2.41,0.47,1197.6,0,0,-0.02,19.5,0,47.9485779,-97.1724396,114.3,108.4,228.2,21.6,19.57,3.03,60.02,144.59,160.56,136.67,161.08,150.98,1005.18,986.25,978.06,1001.82,28,27.9,12.3,0.8,
,37123783,13588,0,4000,853,0,-6.84,0,354.8,266.2,2.42,0.47,1217,0,-0.02,0,19.5,0,47.9485779,-97.1724396,114.3,108.4,228.2,21.6,19.57,3.02,60.19,144.52,161.06,137.1,161.51,151.34,1011.76,989.68,982.49,1004.88,27.9,27.9,12.3,0.8,
,37123784,13588,0,5000,853.4,0,-0.43,0,354.8,266.2,2.38,0.46,1225.2,0,0,0,19.5,0,47.9485779,-97.1724396,114.3,108.4,228.2,21.65,19.57,3.01,60.23,144.45,161.45,137.34,161.84,151.55,1017.88,993.79,987,1007.98,28,27.9,12.1,0.7,
,37123785,13588,0,6000,858.8,0,-6.75,0,354.7,266.2,2.35,0.44,1222.5,0,-0.01,0,19.5,0,47.9485741,-97.1724243,114.3,108.4,228.2,21.65,19.62,3.05,60.14,144.38,161.95,137.68,162.26,151.89,1023.97,998.07,992.65,1011.71,28,27.9,12.2,0.8,
,37123786,13588,0,7000,856.1,0,-1.42,0,354.8,266.2,2.35,0.48,1226.5,0,-0.02,-0.01,19.5,0,47.9485779,-97.1724396,114.3,108.4,228.2,21.65,19.62,3,60.22,144.29,162.58,138.13,162.81,152.33,1028.79,1001.8,998.94,1014.45,28,27.9,12.2,0.8,
,37123787,13588,0,8000,858.5,0,-0.05,0,354.8,266.2,2.44,0.46,1231.7,0,0.04,-0.01,19.5,0,47.9485741,-97.1724396,114.3,108.4,228.2,21.65,19.62,2.97,60.4,144.22,163.06,138.55,163.32,152.7,1033.14,1005.08,1003.44,1017.25,28,27.9,12,0.8,
,37123788,13588,0,9000,859.6,0,5.51,0,354.8,266.2,2.37,0.47,1233.3,0,0,0,19.5,0,47.9485741,-97.1724396,114.3,108.4,228.2,21.65,19.57,2.95,60.23,144.14,163.66,138.94,163.79,153.07,1039.13,1007.02,1009.45,1020.47,28,27.9,12.1,0.7,
,37123789,13588,0,10000,860,0,12.25,0,354.7,266.2,2.37,0.43,1228,0,0.01,-0.02,19.5,0,47.9485779,-97.1724396,114.3,108.4,228.2,21.65,19.52,2.99,60.22,144.06,164.22,139.33,164.25,153.46,1043.82,1009.11,1013.33,1025.13,28,27.9,12,0.7,
,37123790,13588,0,11000,860.7,0,1.03,0,354.7,266.2,2.36,0.38,1227.1,0,0,0,19.5,0,47.9485779,-97.1724243,114.3,108.4,228.2,21.71,19.52,2.97,60.23,143.98,164.76,139.73,164.77,153.82,1047.95,1011.49,1016.27,1028.63,28,27.9,12.1,0.8,
,37123791,13588,0,12000,853.2,0,-0.58,0,354.7,266.2,2.38,0.49,1220.9,0,0.05,0,19.5,0,47.9485855,-97.1724396,114.3,108.4,228.2,21.65,19.52,2.95,60.1,143.9,165.46,140.29,165.39,154.34,1051.65,1013.8,1018.87,1031.97,28,27.9,12,0.7,
